LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,TOTAL_DISTANCE,FIRST,LAST,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Label,Track ID,Track ID,Track ID,Branch duration,Distance traveled,Mean velocity,Total distance,First spot ID,Last spot ID,Mean successors delay,Mean predecessors delay
Label,Track ID,N predecessors,N successors,Delta T,Dist,Mean V,Tot Dist,First ID,Last ID,Succ Delay,Pred Delay
,,,,(frame),( ),( /frame),( ),,,(frame),(frame)
Track_1210: ID582871 → ID591975,202,0,0,53.0,12.324408612400456,0.741268367811705,39.28722349402037,582871,591975,0.0,0.0
Track_1209: ID583029 → ID583850,201,0,0,6.0,5.308676508479776,0.9237283279295508,5.542369967577305,583029,583850,0.0,0.0
Track_1211: ID583923 → ID587307,203,0,0,19.0,4.284850465051015,1.2706652237059122,24.14263925041233,583923,587307,0.0,0.0
Track_1214: ID584790 → ID586440,206,0,0,7.0,1.3358753732056603,0.5226976747806155,3.6588837234643083,584790,586440,0.0,0.0
Track_1212: ID584869 → ID584423,204,0,0,1.0,18.740722314210046,18.740722314210046,18.740722314210046,584869,584423,0.0,0.0
Track_1213: ID584904 → ID586475,205,0,0,7.0,2.740834427091014,0.5243542674328974,3.6704798720302816,584904,586475,0.0,0.0
Track_1216: ID585233 → ID585785,208,0,0,6.0,0.676312402259592,0.21595742609851798,1.2957445565911079,585233,585785,0.0,0.0
Track_1215: ID585296 → ID586261,207,0,0,1.0,10.520497795001845,10.520497795001845,10.520497795001845,585296,586261,0.0,0.0
Track_1217: ID585742 → ID597336,209,0,0,68.0,8.035123341162269,0.9619306034300065,65.41128103324044,585742,597336,0.0,0.0
Track_1218: ID587632 → ID588897,210,0,0,8.0,2.2580307474471755,0.738841265076879,5.910730120615032,587632,588897,0.0,0.0
Track_1219: ID587648 → ID588919,211,0,0,8.0,4.0780202853156835,1.11225277800904,8.89802222407232,587648,588919,0.0,0.0
Track_1220: ID588507 → ID588863,212,0,0,4.0,0.8233190653986898,0.24850064388408127,0.9940025755363251,588507,588863,0.0,0.0
Track_1222: ID588621 → ID594977,214,0,0,42.0,9.97641169076665,1.6830803915374428,70.6893764445726,588621,594977,0.0,0.0
Track_1221: ID588764 → ID588930,213,0,0,4.0,1.193757134066427,0.3140978478298673,1.2563913913194693,588764,588930,0.0,0.0
Track_1223: ID589540 → ID590669,215,0,0,8.0,1.9921210878359903,0.549282905121335,4.39426324097068,589540,590669,0.0,0.0
Track_1224: ID591119 → ID592326,216,0,0,7.0,1.4324389839455713,0.2308116600625612,1.6156816204379285,591119,592326,0.0,0.0
Track_1226: ID592259 → ID594730,218,0,0,13.0,1.5687656395447533,0.6526422399291827,8.484349119079376,592259,594730,0.0,0.0
Track_1227: ID592376 → ID595769,219,0,0,18.0,8.825674380461816,0.9017749041572861,16.23194827483115,592376,595769,0.0,0.0
Track_1228: ID592427 → ID595859,220,0,0,18.0,2.009480580234764,0.49309557443358404,8.875720339804513,592427,595859,0.0,0.0
Track_1225: ID592465 → ID593016,217,0,0,1.0,2.0636401703227945,2.0636401703227945,2.0636401703227945,592465,593016,0.0,0.0
Track_1229: ID592546 → ID593044,221,0,0,1.0,12.338066574832936,12.338066574832936,12.338066574832936,592546,593044,0.0,0.0
Track_1232: ID592576 → ID593560,224,0,0,3.0,8.402141309579282,2.870676516331541,8.612029548994624,592576,593560,0.0,0.0
Track_1230: ID592634 → ID592566,222,0,0,1.0,12.330144096241172,12.330144096241172,12.330144096241172,592634,592566,0.0,0.0
Track_1231: ID592762 → ID593394,223,0,0,1.0,7.1936403652073935,7.1936403652073935,7.1936403652073935,592762,593394,0.0,0.0
Track_1233: ID593162 → ID607029,225,0,0,86.0,18.737104525425877,0.9528631651619597,81.94623220392853,593162,607029,0.0,0.0
Track_1237: ID593319 → ID594537,229,0,0,4.0,0.8205335028386447,0.7218759874291448,2.8875039497165793,593319,594537,0.0,0.0
Track_1235: ID593357 → ID595750,227,0,0,14.0,8.118674673517804,1.2060345259506255,16.884483363308757,593357,595750,0.0,0.0
Track_1236: ID593410 → ID595868,228,0,0,13.0,1.1505443068649297,0.50486192888614,6.56320507551982,593410,595868,0.0,0.0
Track_1238: ID593462 → ID594218,230,0,0,6.0,0.8486231581194347,1.0722894808641694,6.4337368851850165,593462,594218,0.0,0.0
Track_1234: ID593528 → ID594369,226,0,0,2.0,0.9048384080873142,1.2847309165233698,2.5694618330467396,593528,594369,0.0,0.0
Track_1241: ID593939 → ID594579,233,0,0,1.0,2.3012116177324065,2.3012116177324065,2.3012116177324065,593939,594579,0.0,0.0
Track_1242: ID594086 → ID600303,234,0,0,39.0,0.27978527817007476,1.0254309536748651,39.99180719331974,594086,600303,0.0,0.0
Track_1240: ID594088 → ID595691,232,0,0,8.0,0.555198666770849,0.49342573658718974,3.947405892697518,594088,595691,0.0,0.0
Track_1239: ID594130 → ID632792,231,0,0,233.0,23.423885135474777,0.5710243252804551,133.04866779034603,594130,632792,0.0,0.0
Track_1244: ID594148 → ID696045,236,0,0,608.0,40.16178095611889,0.4977772400971573,302.64856197907164,594148,696045,0.0,0.0
Track_1243: ID594748 → ID596331,235,0,0,12.0,1.6004293653575605,0.6223293399411715,7.467952079294058,594748,596331,0.0,0.0
Track_1245: ID595243 → ID596404,237,0,0,8.0,2.6170557715875065,0.693710130652312,5.549681045218496,595243,596404,0.0,0.0
Track_1246: ID595245 → ID596433,238,0,0,8.0,0.6584510178766185,0.37170342194529127,2.97362737556233,595245,596433,0.0,0.0
Track_1247: ID595292 → ID616648,239,0,0,132.0,26.41766265063225,0.7025157167566084,92.7320746118723,595292,616648,0.0,0.0
Track_1248: ID595326 → ID598237,240,0,0,18.0,5.63807102050815,1.8608447687731657,33.495205837916984,595326,598237,0.0,0.0
Track_1249: ID595385 → ID599392,241,0,0,21.0,5.084171841788139,2.186061781318804,45.907297407694884,595385,599392,0.0,0.0
Track_1251: ID596213 → ID597144,243,0,0,6.0,1.9906038731708526,0.8332520296761943,4.999512178057166,596213,597144,0.0,0.0
Track_1254: ID596542 → ID599659,246,0,0,17.0,4.891855202119901,0.5136217282119171,8.73156937960259,596542,599659,0.0,0.0
Track_1250: ID596589 → ID596979,242,0,0,2.0,0.31732574953800974,0.3511857977290796,0.7023715954581592,596589,596979,0.0,0.0
Track_1255: ID596595 → ID599677,247,0,0,17.0,2.4731833303827973,0.5146202359817094,8.74854401168906,596595,599677,0.0,0.0
Track_1252: ID596857 → ID599985,244,0,0,23.0,6.469432179682242,0.45839551519445776,10.543096849472528,596857,599985,0.0,0.0
Track_1253: ID596962 → ID617808,245,0,0,128.0,8.585856789907382,0.7048831921030191,90.22504858918644,596962,617808,0.0,0.0
Track_1257: ID597846 → ID599532,249,0,0,11.0,2.860334295109484,0.609916056998446,6.709076626982906,597846,599532,0.0,0.0
Track_1256: ID597977 → ID599590,248,0,0,11.0,0.9438764276344236,0.4345316372812864,4.779848010094151,597977,599590,0.0,0.0
Track_1260: ID598665 → ID600935,252,0,0,10.0,1.280667294888302,0.2359655227477077,2.3596552274770772,598665,600935,0.0,0.0
Track_1259: ID598756 → ID598962,251,0,0,1.0,0.19950835027208647,0.19950835027208647,0.19950835027208647,598756,598962,0.0,0.0
Track_1258: ID598825 → ID600892,250,0,0,14.0,5.321273094381914,2.4064866283447683,33.690812796826755,598825,600892,0.0,0.0
Track_1261: ID599647 → ID600157,253,0,0,2.0,0.30414052310934087,0.2994142096625969,0.5988284193251938,599647,600157,0.0,0.0
Track_1262: ID599711 → ID609583,254,0,0,61.0,6.241036553363936,0.763660866766005,46.5833128727263,599711,609583,0.0,0.0
Track_1263: ID599820 → ID602127,255,0,0,11.0,1.8419946684012805,1.063624360702762,11.699867967730382,599820,602127,0.0,0.0
Track_1264: ID600655 → ID681239,256,0,0,477.0,48.65574343888667,0.6049171916385252,288.54550041157654,600655,681239,0.0,0.0
Track_1265: ID600818 → ID601058,257,0,0,1.0,5.471894142497274,5.471894142497274,5.471894142497274,600818,601058,0.0,0.0
Track_1266: ID600947 → ID613623,258,0,0,75.0,18.80567518352357,0.7431374734833603,55.735310511252024,600947,613623,0.0,0.0
Track_1267: ID601232 → ID601923,259,0,0,5.0,4.879684040431916,1.717927496695048,8.58963748347524,601232,601923,0.0,0.0
Track_1268: ID601337 → ID603296,260,0,0,9.0,8.127062757744405,1.1918110176192096,10.726299158572887,601337,603296,0.0,0.0
Track_1269: ID601643 → ID613373,261,0,0,72.0,17.176345461929717,0.6455674300204177,46.48085496147008,601643,613373,0.0,0.0
Track_1270: ID602162 → ID602682,262,0,0,1.0,11.165687058470898,11.165687058470898,11.165687058470898,602162,602682,0.0,0.0
Track_1271: ID602215 → ID603616,263,0,0,3.0,0.2699901647636779,0.09604780960771847,0.2881434288231554,602215,603616,0.0,0.0
Track_1273: ID602439 → ID616665,265,0,0,86.0,15.350950097804906,1.1153303439974154,95.91840958377772,602439,616665,0.0,0.0
Track_1272: ID602897 → ID603581,264,0,0,1.0,5.4167524355033905,5.4167524355033905,5.4167524355033905,602897,603581,0.0,0.0
Track_1274: ID603164 → ID604246,266,0,0,7.0,3.994877333286266,2.1201622492984824,14.841135745089378,603164,604246,0.0,0.0
Track_1275: ID604686 → ID608461,267,0,0,21.0,1.9315029826711405,0.6737819949376033,14.149421893689668,604686,608461,0.0,0.0
Track_1276: ID607171 → ID629493,268,0,0,134.0,23.056818801695552,0.4881746249263524,65.41539974013122,607171,629493,0.0,0.0
Track_1277: ID609674 → ID613469,269,0,0,23.0,5.455011887398958,0.6857980168130021,15.773354386699049,609674,613469,0.0,0.0
Track_1278: ID609809 → ID616486,270,0,0,35.0,3.3571276471401936,0.3721707276201981,13.025975466706933,609809,616486,0.0,0.0
Track_1279: ID613837 → ID614705,271,0,0,9.0,1.6933725284960905,1.1170051242204868,10.053046117984382,613837,614705,0.0,0.0
Track_1280: ID614176 → ID614669,272,0,0,4.0,3.282830304964088,0.820833918128646,3.283335672514584,614176,614669,0.0,0.0
Track_1281: ID614872 → ID628703,273,0,0,82.0,19.119990963426517,0.7518804828194489,61.65419959119481,614872,628703,0.0,0.0
Track_1282: ID615366 → ID617039,274,0,0,10.0,4.887099257334235,1.9790316000737165,19.790316000737164,615366,617039,0.0,0.0
Track_1283: ID616146 → ID617365,275,0,0,8.0,0.5395845046494869,0.17024240141700725,1.361939211336058,616146,617365,0.0,0.0
Track_1284: ID616296 → ID617679,276,0,0,10.0,1.6797935866571962,0.4203699754199324,4.203699754199324,616296,617679,0.0,0.0
Track_1285: ID617001 → ID619061,277,0,0,17.0,2.8540848825211063,0.2605184281544907,4.428813278626342,617001,619061,0.0,0.0
Track_1286: ID617216 → ID617259,278,0,0,2.0,4.346767058560458,2.5514608392850837,5.102921678570167,617216,617259,0.0,0.0
Track_1287: ID617754 → ID643494,279,0,0,147.0,20.22098525018644,0.6480501488309334,95.26337187814721,617754,643494,0.0,0.0
Track_1288: ID618025 → ID618727,280,0,0,1.0,0.48391978390341833,0.48391978390341833,0.48391978390341833,618025,618727,0.0,0.0
Track_1289: ID618079 → ID619088,281,0,0,13.0,4.377168568406374,0.47904618545231575,6.227600410880105,618079,619088,0.0,0.0
Track_1290: ID618858 → ID627045,282,0,0,51.0,3.302859413759431,0.9829259973033103,50.12922586246883,618858,627045,0.0,0.0
Track_1291: ID618876 → ID627486,283,0,0,53.0,10.765409773077815,0.9618111231722521,50.97598952812936,618876,627486,0.0,0.0
Track_1292: ID619369 → ID619495,284,0,0,5.0,0.49077969096685903,0.10534500386256114,0.5267250193128057,619369,619495,0.0,0.0
Track_1293: ID619766 → ID620862,285,0,0,7.0,0.8797682329445298,0.7127537719696612,4.9892764037876285,619766,620862,0.0,0.0
Track_1294: ID620062 → ID620497,286,0,0,2.0,0.8609003556593346,0.4401522896019285,0.880304579203857,620062,620497,0.0,0.0
Track_1295: ID620590 → ID624544,287,0,0,22.0,5.77694719717052,0.42350230843932285,9.317050785665103,620590,624544,0.0,0.0
Track_1296: ID620625 → ID624611,288,0,0,22.0,7.818863550687501,0.963667076376545,21.20067568028399,620625,624611,0.0,0.0
