LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID713748 → ID713789,344,713748,713789,0.04448666806218075,0.20890241517068533,0.3585845398759859,0.3585845398759859,961.5,253.88838928115976,363.6946304680747,0.0,
ID714681 → ID714668,344,714681,714668,1.1820142896415153,0.7968080977367376,1.4170658493380397,1.4170658493380397,966.5,255.2136830703356,361.2086970723907,0.0,
ID713789 → ID713971,344,713789,713971,0.16514552263351615,1.386909291002532,0.35682840624131623,0.35682840624131623,962.5,254.07984499256168,363.49709482627526,0.0,
ID715235 → ID715076,344,715235,715076,0.3645489669882018,1.921853712418598,0.4632782758424803,0.4632782758424803,969.5,255.81144292653084,360.4981225250748,0.0,
ID714260 → ID714681,344,714260,714681,1.5014275608153047,0.11211423823461564,0.8271718336112398,1.6543436672224796,965.0,254.91240323398964,362.59245716109393,0.0,
ID712519 → ID712607,344,712519,712607,0.19991107583589604,1.1246439834116684,0.5511985939890907,0.5511985939890907,954.5,254.20594807549497,364.43985158105716,0.0,
ID713348 → ID713748,344,713348,713748,0.06986601850235695,2.8157663376342286,0.302754019606251,0.302754019606251,960.5,253.83146658471435,364.0185468971413,0.0,
ID714668 → ID714492,344,714668,714492,3.316378790649928,2.654767505029407,0.8667844102440708,0.8667844102440708,967.5,255.3417699960732,360.847247251818,0.0,
ID712607 → ID712878,344,712607,712878,0.6582815304881745,1.9800576215144245,0.40725501827232097,0.40725501827232097,955.5,253.9588096331304,364.3317859216739,0.0,
ID714964 → ID715315,344,714964,715315,0.6798217367367189,2.8323037698483073,0.3054338135119226,0.3054338135119226,971.5,256.3215097034585,359.9516557182163,0.0,
ID711379 → ID711371,344,711379,711371,5.79726287108747,1.4123630884729543,0.5475533857826234,0.5475533857826234,947.5,253.71446696315985,367.01041004851527,0.0,
ID713211 → ID713368,344,713211,713368,0.0409220040177111,0.599480873276006,0.3068974599186627,0.3068974599186627,958.5,253.92792028757668,364.16879238556976,0.0,
ID712118 → ID712138,344,712118,712138,0.1663554650256184,1.0240010753201283,0.2900515216231706,0.2900515216231706,951.5,253.9092438344838,365.3783967534713,0.0,
ID712468 → ID712519,344,712468,712519,0.19713872289767148,1.4305266600939306,0.6140504674797247,0.6140504674797247,953.5,254.10662303794993,364.9229428470855,0.0,
ID712988 → ID713211,344,712988,713211,0.5250574293415781,2.8872639061880023,0.5306075118116944,0.5306075118116944,957.5,253.87617937144586,364.5668866228531,0.0,
ID713368 → ID713348,344,713368,713348,0.1721652467716631,2.2756498378038117,0.17545170651019076,0.17545170651019076,959.5,253.83905475949024,364.09197215529446,0.0,
ID715076 → ID714964,344,715076,714964,0.3878188717820113,1.5098316598820496,0.8253896732398478,0.8253896732398478,970.5,256.1814566579553,360.18393734357437,0.0,
ID711277 → ID711379,344,711277,711379,5.996003591616849,NaN,2.3288496558123732,2.3288496558123732,946.5,254.49280644238746,366.0483190631469,0.0,
ID714492 → ID715235,344,714492,715235,0.3777316800681174,2.479906009843048,0.7508432066039142,0.7508432066039142,968.5,255.60644077173635,360.80268955467295,0.0,
ID713971 → ID714260,344,713971,714260,9.82284341175241E-4,0.6607577260256667,0.2798576141147226,0.2798576141147226,963.5,254.3580837272039,363.3812653713991,0.0,
ID712878 → ID712988,344,712878,712988,0.1986105388282736,0.6757187848475061,0.33960315916257083,0.33960315916257083,956.5,253.80169898806236,364.6473327201429,0.0,
ID715315 → ID715426,344,715315,715426,36.22598493301698,1.1320156457992996,5.552912978315628,5.552912978315628,972.5,253.73144745779064,361.12804069768987,0.0,
ID711957 → ID712118,344,711957,712118,2.5180592143620086,0.7542996939873198,1.1105390126307255,1.1105390126307255,950.5,253.71984730188032,365.99258524625134,0.0,
ID711371 → ID711758,344,711371,711758,9.824325532221314,1.5100906646182066,0.26725072941519395,0.26725072941519395,948.5,253.48491422153717,366.7993321496599,0.0,
ID711758 → ID711957,344,711758,711957,2.2805651703590657,0.618627515644478,0.19112635523834287,0.19112635523834287,949.5,253.58917373322925,366.6071752609139,0.0,
ID712138 → ID712468,344,712138,712468,0.13669247117522162,1.8285682733900406,0.21550489195189793,0.21550489195189793,952.5,253.97098797860286,365.2339554090589,0.0,
ID714410 → ID714882,345,714410,714882,0.0768549886922199,1.2359509494134295,0.24448049162826394,0.24448049162826394,965.5,215.37598681279516,424.03323086518753,0.0,
ID715626 → ID715536,345,715626,715536,0.06758538339846708,1.5395749599173092,0.24126090660619134,0.24126090660619134,972.5,214.51937073748007,424.2513091109332,0.0,
ID714878 → ID714685,345,714878,714685,1.0681164920655797,2.9126982326167243,0.7677354055474398,0.7677354055474398,967.5,215.25335670957998,423.92436163224215,0.0,
ID713589 → ID713953,345,713589,713953,5.910115473881086,3.0920359731802227,1.1736268163802879,1.1736268163802879,960.5,214.6833736573921,424.1766926940137,0.0,
